symbol,date,price,holding,change,indicator,pnl
HPG,20210817,49.65,10,6,2.559999999999995,13588.129600000024
GVR,20210817,37.6,20,0,3.729999999999997,5190.097199999999
ACB,20210817,36.0,5,-2,0.6200000000000045,19806.056299999957
MBB,20210817,31.45,12,0,2.120000000000001,6357.841199999994
BSR,20210817,19.2,6,6,0.620000000000001,2644.4000000000005
POW,20210817,11.5,14,-4,0.4599999999999991,1737.4866000000009
HSG,20210817,38.35,8,14,2.5799999999999983,20934.591500000002
OIL,20210817,12.9,6,4,0.35999999999999943,1806.8000000000002
DXG,20210817,23.95,18,-2,1.6900000000000013,15279.815500000004
SBT,20210817,21.5,25,1,2.2699999999999996,17133.615300000005
HCM,20210817,55.4,20,-5,5.729999999999997,22117.206399999985
IDC,20210817,38.5,10,-8,3.3299999999999983,3610.512099999999
DCM,20210817,22.9,24,3,2.870000000000001,4023.081700000007
PVI,20210817,41.8,23,1,2.8100000000000023,25428.672700000025
DPM,20210817,35.7,65,-7,7.899999999999999,17249.777700000002
ITA,20210817,6.89,13,-6,0.4299999999999997,21999.291100000028
IJC,20210817,28.8,28,-10,2.490000000000002,15972.914200000001
HBC,20210817,15.75,31,-12,1.379999999999999,19365.67109999996
CEO,20210817,9.6,25,-6,0.6799999999999997,6105.791999999999
FRT,20210817,42.0,37,9,5.350000000000001,6093.2652
PET,20210817,26.0,47,-7,3.419999999999998,14497.3466
CKG,20210817,20.0,16,-4,1.8500000000000014,1360.0791000000002
PVC,20210817,9.4,15,6,0.5499999999999989,43010.18980000001
