symbol,date,price,holding,exp_holding,change,indicator,pnl
VPB,20211109,37.05,0,0,0,-0.6500000000000057,2196.8138999999996
TCB,20211109,52.3,0,0,-1,-0.020000000000003126,383.70000000000186
HPG,20211109,56.5,0,0,0,-0.21000000000000085,4015.4119999999953
GVR,20211109,40.6,8,9,-1,1.4500000000000028,478.4632000000012
ACB,20211109,33.45,7,8,1,0.990000000000002,6952.99910000002
MBB,20211109,28.6,1,2,1,0.22000000000000242,1176.9769999999992
BSR,20211109,24.4,4,6,0,0.5499999999999972,368.7999999999991
STB,20211109,28.1,11,13,2,1.3800000000000026,7801.419800000003
SHB,20211109,29.1,3,5,-14,0.6000000000000014,2696.275599999999
TPB,20211109,43.4,-2,0,-2,-0.10000000000000142,163.85350000000034
SSI,20211109,44.3,14,19,0,3.1699999999999946,6760.923099999992
POW,20211109,12.85,-1,6,-4,0.29999999999999893,144.18579999999906
HSG,20211109,45.65,0,0,0,-1.9400000000000048,7105.4493999999995
OIL,20211109,17.4,17,23,-4,1.5399999999999991,-173.00000000000097
DXG,20211109,26.4,14,34,5,3.3599999999999994,2488.7113999999956
SBT,20211109,25.0,13,31,2,2.9200000000000017,1690.433000000005
HCM,20211109,43.45,22,25,-2,4.18,6748.862999999998
IDC,20211109,94.5,68,68,0,24.189999999999998,1301.4316
DCM,20211109,36.75,8,26,-1,3.5600000000000023,1097.3422000000016
PVI,20211109,50.3,0,2,-2,0.3200000000000003,-68.99210000000107
DPM,20211109,52.3,18,29,1,5.659999999999997,2611.7411999999913
ITA,20211109,9.4,14,30,10,1.0600000000000005,10679.771600000002
IJC,20211109,34.9,17,17,-3,2.240000000000002,5026.999099999998
SCR,20211109,15.8,19,26,7,1.58,2179.917800000008
HBC,20211109,22.15,44,46,2,3.849999999999998,7046.839800000004
CEO,20211109,15.0,23,55,19,3.119999999999999,-625.6946999999998
FRT,20211109,54.2,18,18,-3,3.710000000000001,884.1696000000029
PET,20211109,31.8,3,9,-2,1.1000000000000014,3816.946999999994
CKG,20211109,27.25,0,10,3,1.0199999999999996,302.37350000000015
PVC,20211109,13.6,15,15,-1,0.7899999999999991,12438.317299999992
